cazyfamily_name,cazyfamily_read_count,seq_amount,average_seq_length,FPKM
HMMER=PL12(396-534),149,1,1773.0,25.21318007732296
Hotpep=PL0(21),149,1,1773.0,25.21318007732296
HMMER=CE9(25-396),330,1,1215.0,81.4868922111243
Hotpep=CE9(1),330,1,1215.0,81.4868922111243
HMMER=GT2_Glycos_transf_2(9-143),241,1,843.0,85.77081973759073
Hotpep=GT2(19),241,1,843.0,85.77081973759073
HMMER=GT2_Glycos_transf_2(5-125),58,1,639.0,27.23185514353834
HMMER=GT4(258-421),289,1,1428.0,60.71831741056179
HMMER=GT28(209-354),74,1,1152.0,19.272113001636644
HMMER=GT4(228-380)+GT2_Glycos_transf_2(455-577),83,1,2331.0,10.6828200213601
HMMER=GT4(188-339),370,2,1125.0,98.67321856837961
Hotpep=GT4(18),290,1,1116.0,77.96216593512992
HMMER=GT4(193-338),126,1,1122.0,33.69207672608712
HMMER=GT9(70-306),264,1,1047.0,75.64972228196068
Hotpep=GT9(1),264,1,1047.0,75.64972228196068
HMMER=GH8(26-344),284,1,1110.0,76.76185374384534
Hotpep=GH8(1),284,1,1110.0,76.76185374384534
HMMER=GT4(666-823),76,1,2580.0,8.837796131988746
HMMER=GT4(168-298),68,1,996.0,20.48328780115337
HMMER=GH105(60-376),295,1,1140.0,77.6367340265078
Hotpep=GH105(1),295,1,1140.0,77.6367340265078
